DATE,UPI APP,VOL(Million),VOL(Cr),Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
31/03/2022,Airtel Payments Bank Apps,8.33,193441.00%,-,-,-,-,4.82,"2,557.85",13.16,"4,492.25"
31/03/2022,Allahabad Bank Apps,0.02,615.00%,-,-,-,-,-,-,0.02,6.15
31/03/2022,Amazon Pay,76.34,689478.00%,-,-,-,-,-,-,76.34,"6,894.78"
31/03/2022,AU Small Finance Bank Apps,0.29,10448.00%,-,-,-,-,-,-,0.29,104.48
31/03/2022,Axis Bank Apps,7.09,104513.00%,5421.00%,3981.00%,0,0.00%,-,-,61.29,"1,084.94"
31/03/2022,Bajaj Finserv,0.35,2408.00%,-,-,-,-,-,-,0.35,24.08
31/03/2022,Bank of Baroda Apps,0.69,32861.00%,-,-,-,-,-,-,0.69,328.61
31/03/2022,Bank of India Apps,0.08,2622.00%,-,-,-,-,-,-,0.08,26.22
31/03/2022,Bank of Maharashtra Apps,0.05,1500.00%,-,-,-,-,-,-,0.05,15
31/03/2022,BHIM,24.88,805024.00%,-,-,-,-,-,-,24.88,"8,050.24"
31/03/2022,Canara Bank Apps,0.31,10968.00%,-,-,-,-,-,-,0.31,109.68
31/03/2022,Central Bank of India Apps,0.14,5067.00%,-,-,-,-,-,-,0.14,50.67
31/03/2022,Citi Bank Apps,0.11,6841.00%,-,-,-,-,-,-,0.11,68.41
31/03/2022,City Union Bank Apps,0.03,730.00%,-,-,-,-,-,-,0.03,7.3
31/03/2022,Cointab,0.08,3322.00%,-,-,-,-,-,-,0.08,33.22
31/03/2022,Cred,12.11,1613611.00%,-,-,-,-,-,-,12.11,"16,136.11"
31/03/2022,DBS Digibank Apps,0.49,18552.00%,-,-,-,-,-,-,0.49,185.52
31/03/2022,Dena Bank Apps,0.02,2932.00%,-,-,-,-,-,-,0.02,29.32
31/03/2022,Deutsche Bank Apps,1.02,9166.00%,-,-,0,136.00%,-,-,1.02,93.02
31/03/2022,Dhanlaxmi Bank Apps,0.01,329.00%,-,-,-,-,-,-,0.01,3.29
31/03/2022,Fave,0.37,1300.00%,-,-,-,-,-,-,0.37,13
31/03/2022,Federal Bank Apps,2.45,36096.00%,-,-,-,-,-,-,2.45,360.96
31/03/2022,Fino Payments bank Apps,0.04,347.00%,-,-,-,-,-,-,0.04,3.47
31/03/2022,Finserv Markets,0.03,149.00%,-,-,-,-,-,-,0.03,1.49
31/03/2022,Finshell Pay,0.08,400.00%,-,-,-,-,-,-,0.08,4
31/03/2022,GoIbibo,0.02,591.00%,-,-,-,-,-,-,0.02,5.91
31/03/2022,Google Pay,"1,838.12",33887325.00%,-,-,-,-,-,-,"1,838.12","338,873.25"
31/03/2022,Groww,0.83,47271.00%,-,-,-,-,-,-,0.83,472.71
31/03/2022,HDFC Bank Apps,5.45,162454.00%,-,-,-,-,-,-,5.45,"1,624.54"
31/03/2022,HSBC Bank Apps,0.1,6185.00%,0.00%,16.00%,-,-,-,-,0.1,62
31/03/2022,ICICI Bank Apps,31.49,1030408.00%,365.00%,23461.00%,-,-,-,-,35.13,"10,538.69"
31/03/2022,IDBI Bank Apps,0.03,1625.00%,-,-,-,-,-,-,0.03,16.25
31/03/2022,IDFC Bank Apps,2.7,53456.00%,-,-,0,0.00%,-,-,2.7,534.56
31/03/2022,India Post Payments Bank Apps,2.95,32114.00%,-,-,-,-,-,-,2.95,321.14
31/03/2022,Indian Bank Apps,0.11,4226.00%,-,-,0,0.00%,-,-,0.11,42.26
31/03/2022,Indian Overseas Bank Apps,0.01,162.00%,-,-,-,-,-,-,0.01,1.62
31/03/2022,IndusInd Bank Apps,1.03,225230.00%,-,-,-,-,-,-,1.03,"2,252.30"
31/03/2022,Jammu and Kashmir Bank Apps,0.01,215.00%,-,-,-,-,-,-,0.01,2.15
31/03/2022,Janata Sahakari Bank Apps,0.01,451.00%,-,-,-,-,-,-,0.01,4.51
31/03/2022,Jio Payments Bank Apps,2.27,12950.00%,-,-,-,-,-,-,2.27,129.5
31/03/2022,Jupiter,1.32,16480.00%,-,-,-,-,-,-,1.32,164.8
31/03/2022,Karnataka Bank Apps,0.3,3796.00%,-,-,0,0.00%,-,-,0.3,37.96
31/03/2022,Karur Vysya Bank Apps,0.04,1829.00%,-,-,-,-,-,-,0.04,18.29
31/03/2022,Kotak Mahindra Bank Apps,7.92,158751.00%,-,-,-,-,-,-,7.92,"1,587.51"
31/03/2022,MakeMyTrip,0.1,4710.00%,-,-,-,-,-,-,0.1,47.1
31/03/2022,MI Pay,0.24,3602.00%,-,-,-,-,-,-,0.24,36.02
31/03/2022,Mobikwik,3.6,73925.00%,-,-,-,-,-,-,3.6,739.25
31/03/2022,NSDL Payments Bank Apps,0.02,228.00%,-,-,-,-,-,-,0.02,2.28
31/03/2022,Paytm Payments Bank App,729.63,8384044.00%,977.00%,1768.00%,-,-,97.74,"11,792.24",837.14,"95,650.36"
31/03/2022,PhonePe,"2,527.15",47140126.00%,-,-,-,-,-,-,"2,527.15","471,401.26"
30/04/2022,Airtel Payments Bank Apps,5.29,45464.00%,-,-,-,-,0.01,6.26,5.3,460.9
30/04/2022,Amazon Pay,73.21,669957.00%,-,-,-,-,-,-,73.21,"6,699.57"
30/04/2022,AU Small Finance Bank Apps,0.32,10989.00%,-,-,-,-,-,-,0.32,109.89
30/04/2022,Axis Bank Apps,7.19,121344.00%,5684.00%,4371.00%,0,0.00%,-,-,64.03,"1,257.15"
30/04/2022,Bajaj Finserv,0.52,3861.00%,-,-,-,-,-,-,0.52,38.61
30/04/2022,Bank of Baroda Apps,0.77,34465.00%,-,-,-,-,-,-,0.77,344.65
